2025-11-21 19:16:52,434 | INFO | TradingBot | main.py:10 | Starting Trading Bot
2025-11-22 00:03:49,636 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 00:03:50,121 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 00:03:50,248 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 00:04:07,319 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 00:04:07,320 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 00:04:07,321 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 00:04:08,038 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 00:04:08,039 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 00:04:08,358 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 00:04:08,441 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 00:04:15,215 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 00:04:15,217 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 84261.89000000
2025-11-22 00:04:55,715 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "POST /api/v3/order HTTP/1.1" 400 60
2025-11-22 00:04:55,717 | ERROR | stop_limit_order | stop_limit_order.py:33 | An error occurred while placing stop limit order: APIError(code=-2010): Stop price would trigger immediately.
2025-11-22 00:20:18,807 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 00:20:18,807 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 00:20:18,809 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 00:20:19,607 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 00:20:19,607 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 00:20:19,776 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 00:20:20,006 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 00:20:36,884 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 00:20:36,884 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 85000.00000000
2025-11-22 00:21:26,323 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "POST /api/v3/order HTTP/1.1" 400 60
2025-11-22 00:21:26,324 | ERROR | stop_limit_order | stop_limit_order.py:33 | An error occurred while placing stop limit order: APIError(code=-2010): Stop price would trigger immediately.
2025-11-22 00:21:36,700 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 00:21:36,701 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 00:21:36,702 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 00:21:37,360 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 00:21:37,362 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 00:21:37,848 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 00:21:37,969 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 00:21:46,520 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 00:21:46,522 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 84822.73000000
2025-11-22 00:23:23,757 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "POST /api/v3/order HTTP/1.1" 400 60
2025-11-22 00:23:23,758 | ERROR | stop_limit_order | stop_limit_order.py:33 | An error occurred while placing stop limit order: APIError(code=-2010): Stop price would trigger immediately.
2025-11-22 00:23:30,098 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 00:23:30,099 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 00:23:30,101 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 00:23:30,957 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 00:23:30,958 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 00:23:31,289 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 00:23:31,363 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 00:23:36,876 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 00:23:36,878 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 84810.10000000
2025-11-22 00:24:00,088 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "POST /api/v3/order HTTP/1.1" 400 60
2025-11-22 00:24:00,090 | ERROR | stop_limit_order | stop_limit_order.py:33 | An error occurred while placing stop limit order: APIError(code=-2010): Stop price would trigger immediately.
2025-11-22 10:32:15,027 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 10:32:15,030 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 10:32:15,037 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 10:32:16,602 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 10:32:16,605 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 10:32:17,160 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 10:32:17,450 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 10:32:44,783 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 10:32:44,787 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 84153.07000000
2025-11-22 10:34:21,721 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "POST /api/v3/order HTTP/1.1" 400 60
2025-11-22 10:34:21,724 | ERROR | stop_limit_order | stop_limit_order.py:33 | An error occurred while placing stop limit order: APIError(code=-2010): Stop price would trigger immediately.
2025-11-22 10:48:50,210 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 10:48:50,211 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 10:48:50,215 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 10:48:51,677 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 10:48:51,679 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 10:48:51,985 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 10:48:52,127 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 10:49:00,071 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 10:49:00,075 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 84039.99000000
2025-11-22 10:54:06,333 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 10:54:06,335 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 10:54:06,341 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 10:54:07,358 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 10:54:07,359 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 10:54:07,647 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 10:54:07,800 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 10:54:13,391 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ticker/price?symbol=BTCUSDT HTTP/1.1" 200 45
2025-11-22 10:54:13,393 | INFO | TradingBot | baseapp.py:73 | Placing sstop limit order for BTCUSDT current price at 83924.00000000
2025-11-22 10:54:48,811 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "POST /api/v3/order HTTP/1.1" 200 134
2025-11-22 10:54:48,811 | INFO | stop_limit_order | stop_limit_order.py:30 | Stop limit order placed successfully: {'symbol': 'BTCUSDT', 'orderId': 3265371, 'orderListId': -1, 'clientOrderId': 'x-HNA2TXFJ47cdda554c7f8d6be2d91', 'transactTime': 1763789088416}
2025-11-22 11:45:15,591 | INFO | TradingBot | baseapp.py:13 | Starting Trading Bot
2025-11-22 11:45:15,595 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 11:45:15,601 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 11:45:16,484 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 11:45:16,485 | INFO | TradingBot | baseapp.py:16 | Binance Testnet connection successful.
2025-11-22 11:45:16,784 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 11:45:16,899 | DEBUG | TradingBot | baseapp.py:22 | Available symbols loaded : 1606 symblos
2025-11-22 11:45:23,963 | WARNING | TradingBot | baseapp.py:70 | Invalid trading pair entered: BTC
2025-11-22 13:03:05,520 | INFO | TradingBot | baseapp.py:14 | Starting Trading Bot
2025-11-22 13:03:05,520 | DEBUG | asyncio | proactor_events.py:631 | Using proactor: IocpProactor
2025-11-22 13:03:05,522 | DEBUG | urllib3.connectionpool | connectionpool.py:1049 | Starting new HTTPS connection (1): testnet.binance.vision:443
2025-11-22 13:03:06,341 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/ping HTTP/1.1" 200 2
2025-11-22 13:03:06,343 | INFO | TradingBot | baseapp.py:17 | Binance Testnet connection successful.
2025-11-22 13:03:06,647 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://testnet.binance.vision:443 "GET /api/v3/exchangeInfo HTTP/1.1" 200 56657
2025-11-22 13:03:06,748 | DEBUG | TradingBot | baseapp.py:23 | Available symbols loaded : 1606 symblos
